% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
27459 +1.046611251e+001 +1.046611251e+001 +1.342961125e+002 +1.342961125e+002 -2.1679e-001 +2.8030e-001 +1.4385e-001 -2.3959e-001 -3.8815e-003 -1.1944e-002 +2.9449e-001 +4.0944e-001 +3.2638e-002 -5.3609e-002 -6.3028e-001 +9.6540e-001 -1.0997e-001 -9.7800e-002 -6.5669e-002 +4.9492e-001 -5.9531e-001 +1.7474e-001 +8.0591e-001 +9.0002e-001
28571 +1.022545255e+001 +1.022545255e+001 +1.340554526e+002 +1.340554526e+002 -2.1330e-001 +2.7156e-001 +1.1944e-001 -2.2104e-001 -3.6831e-003 -9.6272e-003 +2.8504e-001 +4.5294e-001 +4.6116e-002 -3.6624e-002 -6.6686e-001 +9.9617e-001 -1.0142e-001 -1.2077e-001 -1.0656e-001 +4.8150e-001 -5.5845e-001 +1.6966e-001 +7.7441e-001 +8.9808e-001
30045 +9.994057625e+000 +9.994057625e+000 +1.338240576e+002 +1.338240576e+002 -2.0466e-001 +2.5569e-001 +1.0211e-001 -2.0555e-001 -3.3264e-003 -1.7162e-002 +2.7745e-001 +4.8762e-001 +5.9047e-002 -1.8138e-002 -6.9535e-001 +1.0205e+000 -1.0535e-001 -1.3947e-001 -1.4079e-001 +4.5633e-001 -5.2479e-001 +1.5779e-001 +7.4570e-001 +8.9506e-001
31284 +9.767992286e+000 +9.767992286e+000 +1.335979923e+002 +1.335979923e+002 -1.8516e-001 +2.3290e-001 +8.7242e-002 -1.7829e-001 -1.9510e-003 -3.0142e-002 +2.7336e-001 +5.1825e-001 +7.4659e-002 -1.2053e-002 -7.2289e-001 +1.0467e+000 -1.0753e-001 -1.6311e-001 -1.7358e-001 +4.2902e-001 -4.9068e-001 +1.4445e-001 +7.2347e-001 +8.8564e-001
32308 +9.548755815e+000 +9.548755815e+000 +1.333787558e+002 +1.333787558e+002 -1.6987e-001 +2.1388e-001 +7.8288e-002 -1.6296e-001 +5.6564e-003 -4.1827e-002 +2.6303e-001 +5.4343e-001 +7.8355e-002 -2.5959e-003 -7.4551e-001 +1.0683e+000 -1.0265e-001 -1.8566e-001 -2.0903e-001 +3.9829e-001 -4.5659e-001 +1.2993e-001 +6.9740e-001 +8.7449e-001
33682 +9.329841036e+000 +9.329841036e+000 +1.331598410e+002 +1.331598410e+002 -1.5578e-001 +1.9185e-001 +6.8186e-002 -1.4611e-001 +1.5719e-002 -5.9044e-002 +2.6415e-001 +5.6878e-001 +8.7003e-002 +2.0517e-003 -7.7379e-001 +1.0966e+000 -9.6890e-002 -2.1029e-001 -2.4151e-001 +3.7253e-001 -4.1727e-001 +1.1053e-001 +6.7548e-001 +8.5958e-001
35002 +9.115642830e+000 +9.115642830e+000 +1.329456428e+002 +1.329456428e+002 -1.2884e-001 +1.7118e-001 +5.7941e-002 -1.1881e-001 +1.8119e-002 -6.8882e-002 +2.5129e-001 +5.8483e-001 +9.3206e-002 +1.2076e-002 -7.8996e-001 +1.1144e+000 -9.2230e-002 -2.3170e-001 -2.7298e-001 +3.3954e-001 -3.8214e-001 +9.4756e-002 +6.5526e-001 +8.4720e-001
36518 +8.910151220e+000 +8.910151220e+000 +1.327401512e+002 +1.327401512e+002 -1.0706e-001 +1.4539e-001 +5.1630e-002 -9.9086e-002 +2.0806e-002 -7.5708e-002 +2.4121e-001 +6.0128e-001 +9.9782e-002 +4.5454e-003 -8.0709e-001 +1.1367e+000 -9.1512e-002 -2.5644e-001 -3.0468e-001 +3.0991e-001 -3.4016e-001 +7.6053e-002 +6.4094e-001 +8.3082e-001
37796 +8.706505575e+000 +8.706505575e+000 +1.325365056e+002 +1.325365056e+002 -8.1685e-002 +1.2166e-001 +4.9677e-002 -7.7190e-002 +2.5333e-002 -9.8835e-002 +2.3203e-001 +6.0813e-001 +1.0778e-001 -6.4019e-004 -8.2314e-001 +1.1622e+000 -8.2387e-002 -2.7754e-001 -3.3052e-001 +2.7775e-001 -3.0994e-001 +5.9130e-002 +6.2805e-001 +8.1710e-001
39226 +8.510767837e+000 +8.510767837e+000 +1.323407678e+002 +1.323407678e+002 -5.8236e-002 +9.9391e-002 +4.4741e-002 -5.8311e-002 +2.7909e-002 -1.0910e-001 +2.1977e-001 +6.0895e-001 +1.1024e-001 -1.9368e-003 -8.2800e-001 +1.1792e+000 -7.1960e-002 -3.0024e-001 -3.6092e-001 +2.4622e-001 -2.6948e-001 +5.1583e-002 +6.1723e-001 +7.9885e-001
40502 +8.316288332e+000 +8.316288332e+000 +1.321462883e+002 +1.321462883e+002 -2.7342e-002 +8.0109e-002 +4.5648e-002 -3.7670e-002 +2.7736e-002 -1.2374e-001 +2.0561e-001 +6.0618e-001 +1.1920e-001 -7.9283e-003 -8.3667e-001 +1.1938e+000 -5.5262e-002 -3.2796e-001 -3.8851e-001 +2.1293e-001 -2.3581e-001 +3.9571e-002 +6.0643e-001 +7.8015e-001
41894 +8.125086503e+000 +8.125086503e+000 +1.319550865e+002 +1.319550865e+002 -2.7251e-003 +5.6071e-002 +4.4290e-002 -1.4846e-002 +2.8119e-002 -1.4380e-001 +1.8736e-001 +6.0138e-001 +1.1950e-001 -1.3121e-002 -8.3845e-001 +1.2149e+000 -3.9399e-002 -3.4732e-001 -4.1768e-001 +1.8533e-001 -2.0533e-001 +4.0895e-002 +6.0107e-001 +7.6536e-001
43142 +7.939208817e+000 +7.939208817e+000 +1.317692088e+002 +1.317692088e+002 +2.5394e-002 +3.3429e-002 +4.5161e-002 +7.2594e-003 +2.9373e-002 -1.5700e-001 +1.6385e-001 +5.9111e-001 +1.2252e-001 -1.4406e-002 -8.4046e-001 +1.2298e+000 -2.2278e-002 -3.6432e-001 -4.4350e-001 +1.5161e-001 -1.7064e-001 +3.3922e-002 +5.9507e-001 +7.4621e-001
44176 +7.759992226e+000 +7.759992226e+000 +1.315899922e+002 +1.315899922e+002 +4.8275e-002 +1.9235e-002 +4.4406e-002 +2.5868e-002 +3.9614e-002 -1.8023e-001 +1.4678e-001 +5.7833e-001 +1.2616e-001 -1.3895e-002 -8.4259e-001 +1.2388e+000 -4.6741e-003 -3.8684e-001 -4.6978e-001 +1.2831e-001 -1.5122e-001 +3.3212e-002 +5.8746e-001 +7.3039e-001
45452 +7.580237580e+000 +7.580237580e+000 +1.314102376e+002 +1.314102376e+002 +7.3878e-002 +1.5536e-004 +4.4997e-002 +4.4394e-002 +3.8774e-002 -1.9998e-001 +1.2486e-001 +5.5913e-001 +1.3067e-001 -1.6233e-002 -8.3632e-001 +1.2502e+000 +2.1423e-002 -4.0863e-001 -4.9336e-001 +1.0077e-001 -1.2640e-001 +3.4402e-002 +5.8296e-001 +7.1530e-001
46706 +7.411140050e+000 +7.411140050e+000 +1.312411400e+002 +1.312411400e+002 +9.4927e-002 -2.3917e-002 +4.5780e-002 +5.9902e-002 +4.3859e-002 -2.2530e-001 +9.9478e-002 +5.4321e-001 +1.3656e-001 -1.6343e-002 -8.2884e-001 +1.2547e+000 +3.9621e-002 -4.2397e-001 -5.1139e-001 +8.2247e-002 -1.0925e-001 +3.8684e-002 +5.7597e-001 +6.9978e-001
47894 +7.242799232e+000 +7.242799232e+000 +1.310727992e+002 +1.310727992e+002 +1.2332e-001 -3.6697e-002 +4.2735e-002 +8.6076e-002 +4.5857e-002 -2.5256e-001 +7.6120e-002 +5.2554e-001 +1.3857e-001 -1.3286e-002 -8.2097e-001 +1.2627e+000 +6.9130e-002 -4.4459e-001 -5.3679e-001 +5.7766e-002 -1.0338e-001 +4.2892e-002 +5.6454e-001 +6.8566e-001
48752 +7.078363999e+000 +7.078363999e+000 +1.309083640e+002 +1.309083640e+002 +1.4058e-001 -5.5750e-002 +4.1807e-002 +1.0386e-001 +4.9106e-002 -2.7093e-001 +5.5127e-002 +5.0715e-001 +1.4335e-001 -5.9150e-003 -8.0654e-001 +1.2653e+000 +9.1050e-002 -4.5408e-001 -5.5210e-001 +4.4220e-002 -8.6230e-002 +4.6353e-002 +5.5953e-001 +6.7674e-001
